dataset_id,reference,taxon,fly,extent,extent note,heterogeneity,heterogeneity note
Aizen_1994,"Aizen, M.A. & Feinsinger, P., 1994. Habitat Fragmentation , Native Insect Pollinators , and Feral Honey Bees in Argentine ’ Chaco Serrano. Ecological Applications, 4(2), pp.378–392.",hymenoptera,yes,25 km,mapped,low ,"""principally continuous, dry, thorn forest"""
Baldi_1999,"Baldi, A. & Kisbenedek, T., 1999. Orthopterans in small steppe patches: An investigation for the best-fit model of the species-area curve and evidences for their non-random distribution in the patches. Acta Oecologica, 20(2), pp.125–132.",orthopterans,variable,25 km,"not mapped, inferred (""Buda hills"" in Google maps)",high,"""mainly forested� The steppe vegetation�""; google maps also shows urban and agricultural land cover"
Baz_1995,"Baz, A. & Garcia-Boyero, A., 1996. The SLOSS dilemma: a butterfly case study. Biodiversity and Conservation, 5(4), pp.493–502.",lepidoptera,yes,25 km,mapped,medium,"""location of forest patches. Main roads and villages are also included"""
Bell_2006_a,"Bell, K. E. and M. A. Donnelly (2006). Influence of forest fragmentation on community structure of frogs and lizards in northeastern Costa Rica. Conserv Biol 20(6): 1750-1760.",herptiles,no,25 km,mapped,high,"""escalating conversion to agricultural land�secondary forest, pasture, banana plantations""; "
Bell_2006_b,"Bell, K. E. and M. A. Donnelly (2006). Influence of forest fragmentation on community structure of frogs and lizards in northeastern Costa Rica. Conserv Biol 20(6): 1750-1760.",herptiles,no,25 km,mapped,high,"""escalating conversion to agricultural land�secondary forest, pasture, banana plantations""; "
Benedick_2006,"Benedick, S. et al., 2006. Impacts of rain forest fragmentation on butterflies in northern Borneo: Species richness, turnover and the value of small fragments. Journal of Applied Ecology, 43(5), pp.967–977.",lepidoptera,yes,200 km,mapped,medium,"""all comprised lowland rain forest in eastern Sabah, to reduce any residual effects of ?-diversity prior to fragmentation""; however, ""were surrounded by an agricultural landscape containing mainly oil palm"""
Berg_1997,"Berg - 1997 - Diversity and abundance of birds in relation to forest fragmentation, habitat quality and heterogeneity",birds,yes,50 km,"not mapped, inferred (""situated within 40 km from Uppsala"")",high,"""habitat composition differed slightly between fragments and forest sites""; inspection of google maps suggests a highly heterogeneous landscape at the extent of this study"
Bernard_2007,"Bernard, E. & Fenton, M.B., 2007. Bats in a fragmented landscape: Species composition, diversity and habitat interactions in savannas of Santar??m, Central Amazonia, Brazil. Biological Conservation, 134(3), pp.332–343.",bats,yes,25 km,mapped,medium,"""The village is surrounded by a mix of small subsistence plantations, tropical semideciduous forest and Amazonian savannas"""
Bolger_1997,"Bolger, D.T. et al., 1997. Response of rodents to habitat fragmentation in caostal southern California. Ecological Applications, 7(2), pp.552–563.",rodents,no,25 km,mapped,medium,"""Most of the sites are fragments of canyons, although a few also contain mesa-top habitat. These canyons typically range from 15 to 61 m in depth. The boundaries of the fragments are delineated by urban and suburban development, and all fragments are completely surrounded by human-modified habitat"""
Bragagnolo_2007,"Bragagnolo, C. et al., 2007. Harvestmen in an Atlantic forest fragmented landscape: Evaluating assemblage response to habitat quality and quantity. Biological Conservation, 139(3–4), pp.389–400.",spiders,no,25 km,mapped,high,"""The fragmented landscape extends southwestwards, is dominated by open habitats, which cover 58% of the landscape (agricultural fields 33%, areas with rural buildings or urban areas 15%, and native vegetation in early stages of regeneration 10%), and
harbor 31% of native forests (e.g., secondary vegetation from 50 to 80 years old)."""
Brosi_2009,"Brosi, B.J., 2009. The effects of forest fragmentation on euglossine bee communities (Hymenoptera: Apidae: Euglossini). Biological Conservation, 142(2), pp.414-423.",hymenoptera,yes,25 km,"not mapped, described in the methods (""I chose sites separated by at least 500 m (maximum site separation 13.5 km) and with a minimum distance of 500 m to the nearest other forest fragment of any size"")",medium,"""The predominant land uses in the region are cattle pastures, coffee fields, and small agricultural plots for subsistence crops like corn, beans, and bananas""; absence of major urban centers inferred from google maps. "
Cabrera-Guzman_2012,"Cabrera-Guzmán, E. & Reynoso, V.H., 2012. Amphibian and reptile communities of rainforest fragments: Minimum patch size to support high richness and abundance. Biodiversity and Conservation, 21(12), pp.3243–3265.",herptiles,no,25 km,mapped,low ,"""Six isolated tropical rainforest fragments (<20 ha) completely surrounded by cattle pastures were chosen for this study"""
Carneiro_2016,"Carneiro M. S., Campos C.C., Ramos F.N., & Dos Santos F.A. (2016) Spatial species turnover maintains high diversities in a tree assemblage of a fragmented tropical landscape. Ecography, 7, 2–2.",plants,variable,50 km,"""The distance among fragments ranged from 3.1 to 49.6 km""",high,Inferred from google maps. Very diverse landscape mosaic.
Cayuela_2006,"Cayuela, L., Golicher, D. J., BENAYAS, J., REY, M., GONZÁLEZ?ESPINOSA, M. A. R. I. O., & RAMÍREZ?MARCIAL, N. E. P. T. A. L. Í. (2006). Fragmentation, disturbance and tree diversity conservation in tropical montane forests. Journal of Applied Ecology, 43(6), 1172-1181.",plants,variable,50 km,mapped,medium,"""Traditional agricultural practices in this region have produced a landscape mosaic of forest fragments embedded in a matrix of secondary vegetation and crop fields"""
Dami_2012,"Dami, F. D., Mwansat, G. S., & Manu, S. A. (2013). The effects of forest fragmentation on species richness on the Obudu Plateau, south?eastern Nigeria. African Journal of Ecology, 51(1), 32-36.",birds,yes,25 km,mapped,low ,No human settlement between patches and homogeneous matrix; inferred from google maps
Dauber_2006,"Dauber, J., Bengtsson, J. A. N., & Lenoir, L. (2006). Evaluating Effects of Habitat Loss and Land?Use Continuity on Ant Species Richness in Seminatural Grassland Remnants. Conservation Biology, 20(4), 1150-1160.",ants,variable,25 km,mapped,medium,"""the island� has agricultural fields, forests, and natural grasslands"""
Davies_2003,"Davies, R.G. et al., 2003. Environmental and spatial influences upon species composition of a termite assemblage across neotropical forest islands. Journal of Tropical Ecology, 19(5), pp.509–524. Available at: http://www.journals.cambridge.org/abstract_S0266467403003560.",termites,variable,25 km,mapped,low ,"""forested islands�situated in a flooded area"""
Dickman_1987,"Dickman, C. R. (1987). Habitat fragmentation and vertebrate species richness in an urban environment. Journal of Applied Ecology, 337-351.",herptiles,no,25 km,mapped,high,"""Habitat classification followed Newdick (1983) and recognized the following habitat  types: woodland, scrub (regenerating woodland), orchard, long grass, short grass (lawns,  parks, playing fields), allotments, churchyards, and the gardens of detached and semi- detached houses"""
Edwards_2010,"Edwards, D.P. et al., 2010. Wildlife-friendly oil palm plantations fail to protect biodiversity effectively. Conservation Letters, 3(4), pp.236–242.",birds,yes,50 km,"not mapped; information not available, conservatively estimated as 50 km grain based on minimum distance between five  sites of ""7 km"" and fragments separated of ""1.2 km""",medium,"""forest fragments within the agricultural matrix""; not much information provided, but it seems like there is no major urban center nearby"
Filgueiras_2011,"Filgueiras, B.K.C., Iannuzzi, L. & Leal, I.R., 2011. Habitat fragmentation alters the structure of dung beetle communities in the Atlantic Forest. Biological Conservation, 144(1), pp.362–369. Available at: http://dx.doi.org/10.1016/j.biocon.2010.09.013.",beetles,yes,50 km,mapped,low ,"""We selected a large, hyper-fragmented landscape (667 km2; 9.2% of forest cover), containing 109 forest remnants (ranging in size from 1.67 to 3500 ha), all of which entirely surrounded by a uniform and stable matrix of sugar-cane monoculture"""
Fujita_2008,"Fujita, A. et al., 2008. Effects of forest fragmentation on species richness and composition of ground beetles (Coleoptera: Carabidae and Brachinidae) in urban landscapes. Entomological Science, 11(1), pp.39–48.",beetles,variable,50 km,mapped,high,"""IUF plots were surrounded by residential areas, traffic roads, office buildings, and/or farmlands"""
